dbo;BorderoDescontoaReceber;NumDesconto
dbo;BorderoDescontoaReceber;Numero
dbo;CAE;CodCAE
dbo;CaixaBanco;CodConta
dbo;CalculoMargemContribuicao;CodCalculoMargem
dbo;Campanha;CodCampanha
dbo;Campanha;CodEmpresa
dbo;CampanhaFiltros;CodCampanha
dbo;CampanhaFiltros;CodEmpresa
dbo;CampanhaFiltros;NomeCampo
dbo;CampanhaOperador;CodCampanha
dbo;CampanhaOperador;CodCliente
dbo;CampanhaOperador;CodEmpresa
dbo;CampanhaOperador;CodOperador
dbo;CampanhaPedreira;CodTabela
dbo;CampanhaPedreiraMix;CodProduto
dbo;CampanhaPedreiraMix;CodTabela
dbo;CampanhaPedreiraMix;PercPedido
dbo;CampanhaPedreiraProduto;CodTabela
dbo;CampanhaPedreiraProduto;PercPedido
dbo;CampanhaPesquisa;CodCampanhaPesquisa
dbo;CampanhaPesquisa;CodEmpresa
dbo;CampanhaPesquisaResposta;CodCampanhaPesquisa
dbo;CampanhaPesquisaResposta;CodEmpresa
dbo;CampanhaPesquisaResposta;CodPergunta
dbo;CampanhaPesquisaResposta;CodProduto
dbo;CampanhaProduto;CodCampanha
dbo;CampanhaProduto;CodEmpresa
dbo;CampanhaProduto;CodProduto
dbo;CamposBloqueados;CodUsuario
dbo;CamposBloqueados;CodVendedor
dbo;CamposBloqueados;NomeCampo
dbo;CamposBloqueados;NomeFormulario
dbo;CanalVenda;CodCanalVenda
dbo;Cargas;CodCarga
dbo;Cargas;CodEmpresa
dbo;CargasConferencia;CodConferencia
dbo;CargasConferencia;CodEmpresa
dbo;CargasConferenciaItem;CodConferencia
dbo;CargasConferenciaItem;CodEmpresa
dbo;CargasConferenciaItem;CodPalete
dbo;CargasFusion;CodCargaFusion
dbo;CargasFusion;CodEmpresa
dbo;CargasFusionPedidos;CodCargaFusion
dbo;CargasFusionPedidos;CodEmpresa
dbo;CargasFusionPedidos;NumPedido
dbo;CargasSituacao;CodCarga
dbo;CargasSituacao;CodEmpresa
dbo;CargasSituacao;CodRegistro
dbo;CartaCorrecao;CodEmpresa
dbo;CartaCorrecao;CodLote
dbo;CategoriaProduto;CodCategoriaProduto
dbo;CategoriaVeiculo;Categoria
dbo;CentroCusto;CodCentroCusto
dbo;CentroCustoMensagemData;CodCentroCusto
dbo;CentroCustoMensagemData;DataMensagem
dbo;CEPBairros;Bairro
dbo;CEPBairros;CodBairro
dbo;CEPBairros;CodCidade
dbo;CEPCidades;CodCidade
dbo;CEPLogradouros;CEP
dbo;CEPLogradouros;Logradouro
dbo;ChequesEmitidos;CodConta
dbo;ChequesEmitidos;NumeroCheque
dbo;ChequesRecebidos;Controle
dbo;ChequesRecebidosSituacao;Controle
dbo;ChequesRecebidosSituacao;DataSituacao
dbo;Cidades;Cidade
dbo;Cidades;Estado
dbo;CilindradaVeiculo;Cilindrada
dbo;Cirurgias;idCirurgia
dbo;CirurgiasProdutos;CodProduto
dbo;CirurgiasProdutos;idCirurgia
dbo;CirurgiasProdutosLote;CodProduto
dbo;CirurgiasProdutosLote;idCirurgia
dbo;CirurgiasProdutosLote;NumLote
dbo;ClasseFinanceira;CodContab
dbo;ClasseFinanceiraGM;CodConta
dbo;ClasseFinanceiraGMSaldos;CodConta
dbo;ClasseFinanceiraGMSaldos;CodEmpresa
dbo;ClasseFinanceiraGMSaldos;DataSaldo
dbo;ClasseFinanceiraOrcamento;AnoMes
dbo;ClasseFinanceiraOrcamento;CodClasse
dbo;ClasseFinanceiraOrcamento;CodEmpresa
dbo;ClassificacaoAtendimento;CodClassificacaoAtendimento
dbo;ClassificacaoCaixaBanco;CodClassificacaoCaixaBanco
dbo;ClassificacaoEquipamento;CodClassificacaoEquipamento
dbo;ClassificacaoProduto;CodClassificacaoProduto
dbo;ClassificacaoRDM;CodClassificacaoRDM
dbo;Clientes;CodCliente
dbo;ClientesAnexos;CodCliente
dbo;ClientesAnexos;NomeArquivo
dbo;ClientesAutorizacaoVenda;NumAutorizacao
dbo;ClientesCadastroAcessoAPI;NumRegistro
dbo;ClientesCadastroPalm;NumRegistro
dbo;ClientesCamposAdicionais;CodCliente
dbo;ClientesCartao;CodCliente
dbo;ClientesCartao;CodDependente
dbo;ClientesCartao;NumeroCartao
dbo;ClientesCartaoFidelidade;CNPJ_Empresa
dbo;ClientesCartaoFidelidade;CodCliente
dbo;ClientesCodContabil;CodCliente
dbo;ClientesCodContabil;CodEmpresa
dbo;ClientesComissaoProduto;CodCliente
dbo;ClientesComissaoProduto;CodProduto
dbo;ClientesContaBancaria;CodAgencia
dbo;ClientesContaBancaria;CodBanco
dbo;ClientesContaBancaria;DigAgencia
dbo;ClientesContaBancaria;DigContaCorrente
dbo;ClientesContaBancaria;NumeroContaCorrente
dbo;ClientesContatos;NumRegistro
dbo;ClientesCS;CodCliente
dbo;ClientesCS;idControle
dbo;ClientesDependente;CodCliente
dbo;ClientesDependente;CodDependente
dbo;ClientesDescontoPromocional;CodEmpresa
dbo;ClientesDescontoPromocional;NumDescProm
dbo;ClientesDescontoPromocionalCreditos;CodEmpresa
dbo;ClientesDescontoPromocionalCreditos;NumDescProm
dbo;ClientesDescontoPromocionalCreditos;OrdemItem
dbo;ClientesEmpresa;CodCliente
dbo;ClientesEmpresa;CodEmpresa
dbo;ClientesEmpresaProdutoSerie;CodCliente
dbo;ClientesEmpresaProdutoSerie;CodProduto
dbo;ClientesEnderecosAdicionais;CodCliente
dbo;ClientesEnderecosAdicionais;CodEndereco
dbo;ClientesEnderecosAdicionaisPedagio;CodCliente
dbo;ClientesEnderecosAdicionaisPedagio;CodConcessionaria
dbo;ClientesEnderecosAdicionaisPedagio;CodEndereco
dbo;ClientesGrupoEstoque;CodCliente
dbo;ClientesGrupoEstoque;CodGrupo
dbo;ClientesHistorico;CodCliente
dbo;ClientesHistorico;DataAlteracao
dbo;ClientesHistorico;HoraAlteracao
dbo;ClientesHistoricoCampos;CodCliente
dbo;ClientesHistoricoCampos;NomeCampo
dbo;ClientesHistoricoCampos;RegInclusao
dbo;ClientesMedico;CodCliente
dbo;ClientesProdutos;CodCliente
dbo;ClientesProdutos;CodProduto
dbo;ClientesRastreamentoEletronico;CNPJ
dbo;ClientesRastreamentoEletronico;CodFornecedor
dbo;ClientesRegraNegocio;CodCliente
dbo;ClientesRelacionados;CodCliente
dbo;ClientesRelacionados;CodClienteRelacionado
dbo;ClientesRelacionados;CodTipoRelacaoCliente
dbo;ClientesSPC;ControleSPC
dbo;ClientesTelevenda;CodCliente
dbo;ClientesTelevenda;CodEmpresa
dbo;ClienteVendedor;CodCliente
dbo;ClienteVendedor;CodEmpresa
dbo;CNAE;CodCNAE
dbo;CNPJCNAE;CNPJ_CPF
dbo;CNPJCNAE;CodCNAE
dbo;Cobrancas;CodEmpresa
dbo;Cobrancas;idCobranca
dbo;CobrancasAReceber;CodEmpresa
dbo;CobrancasAReceber;CodEmpresaCR
dbo;CobrancasAReceber;Desdobramento
dbo;CobrancasAReceber;idCobranca
dbo;CobrancasAReceber;Numero
dbo;CobrancasChequesRecebidos;CodAgencia
dbo;CobrancasChequesRecebidos;CodBanco
dbo;CobrancasChequesRecebidos;CodEmpresa
dbo;CobrancasChequesRecebidos;idCobranca
dbo;CobrancasChequesRecebidos;NumeroCheque
dbo;CobrancasChequesRecebidos;NumeroContaCorrente
dbo;Comanda;CodEmpresa
dbo;Comanda;NumComanda
dbo;ComandaControleAbertura;Controle
dbo;ComandaMesa;CodEmpresa
dbo;ComandaMesa;CodMesa
dbo;ComandaMesa;NumComanda
dbo;ComandaPagamento;CodEmpresa
dbo;ComandaPagamento;NumComanda
dbo;ComandaPagamento;OrdemPagamento
dbo;ComandaPagamentoProduto;CodEmpresa
dbo;ComandaPagamentoProduto;NumComanda
dbo;ComandaPagamentoProduto;Numero
dbo;ComandaPagamentoProduto;OrdemItem
dbo;ComandaPagamentoProduto;OrdemPedido
dbo;ComandaProduto;CodEmpresa
dbo;ComandaProduto;NumComanda
dbo;ComandaProduto;OrdemPedido
dbo;ComandaTransferencia;CodEmpresa
dbo;ComandaTransferencia;NumComanda
dbo;ComandaTransferencia;OrdemPedido
dbo;ComponenteModulo;CodComponenteProduto
dbo;ComponenteModulo;CodProduto
dbo;ComponenteProduto;CodComponenteProduto
dbo;ComportamentoCliente;CodComportamento
dbo;ConcessionariaPedagio;CodConcessionaria
dbo;ConciliacaoBancaria;CodConta
dbo;ConciliacaoBancaria;DataBaixa
dbo;ConciliacaoBancaria;NumLancamento
dbo;ConciliacaoBancariaSaldo;CodConta
dbo;ConciliacaoBancariaSaldo;DataBaixa
dbo;CondicaoPagamento;CodCondicao
dbo;CondicaoPagamentoDesconto;CodCondicao
dbo;CondicaoPagamentoDesconto;Ordem
dbo;CondicaoPagamentoEmpresa;CodCondicao
dbo;CondicaoPagamentoEmpresa;CodEmpresa
dbo;CondicaoPagamentoParcelas;CodCondicao
dbo;CondicaoPagamentoParcelas;Parcela
dbo;CondicaoPagamentoSerie;CodCondicao
dbo;CondicaoPagamentoSerie;CodEmpresa
dbo;CondicaoPagamentoSerie;Serie
dbo;CondicaoPagamentoVendedores;CodCondicao
dbo;CondicaoPagamentoVendedores;CodVendedor
dbo;ConferenciaPedidoCompra;CodConferencia
dbo;ConferenciaPedidoCompra;CodEmpresa
dbo;ConferenciaPedidoCompraProdutos;CodConferencia
dbo;ConferenciaPedidoCompraProdutos;CodEmpresa
dbo;ConferenciaPedidoCompraProdutos;CodProduto
dbo;ConferenciaPedidoCompraProdutos;OrdemProduto
dbo;Conferentes;CodConferente
dbo;Configuracao;NumRegistro
dbo;ConfiguracaoContabil;CodChave
dbo;ConfiguracaoContabil;CodEmpresa
dbo;ConfiguracaoContabil;NomeTabela
dbo;ConfiguracaoNFe;CodEmpresa
dbo;ConfiguracaoProposta;CodTipoServico
dbo;ConfiguracaoVariavel;NomeAuxiliar1
dbo;ConfiguracaoVariavel;NomeAuxiliar2
dbo;ConfiguracaoVariavel;NomeVariavel
