dbo;AjusteApuracaoPISCOFINS;DataAlteracao;datetime;NULL;NO;('01/01/1900')
dbo;AjusteApuracaoPISCOFINS;HoraAlteracao;datetime;NULL;NO;('00:00:00')
dbo;AjusteApuracaoPISCOFINS;CodUsuarioAlteracao;int;NULL;NO;((0))
dbo;AjusteApuracaoPISCOFINS;RegInclusao;datetime;NULL;NO;(getdate())
dbo;AjusteICMS;CodAjusteICMS;nvarchar;8;NO;('')
dbo;AjusteICMS;DescricaoAjusteICMS;ntext;1073741823;NO;('')
dbo;AjusteICMS;DataAlteracao;datetime;NULL;NO;('1/1/1900')
dbo;AjusteICMS;HoraAlteracao;datetime;NULL;NO;('00:00:00')
dbo;AjusteICMS;CodUsuarioAlteracao;int;NULL;NO;((0))
dbo;AjusteICMS;RegInclusao;datetime;NULL;NO;(getdate())
dbo;AjusteICMS;DataInicio;datetime;NULL;NO;('01/01/1900')
dbo;AjusteICMS;DataTermino;datetime;NULL;NO;('01/01/1900')
dbo;AjusteICMSDocumentoFiscal;CodAjuste;nvarchar;10;NO;('')
dbo;AjusteICMSDocumentoFiscal;Descricao;nvarchar;1000;NO;('')
dbo;AjusteICMSDocumentoFiscal;DataInicio;datetime;NULL;NO;('1/1/1900')
dbo;AjusteICMSDocumentoFiscal;DataTermino;datetime;NULL;NO;('1/1/1900')
dbo;AjusteICMSDocumentoFiscal;CodUsuarioAlteracao;int;NULL;NO;((0))
dbo;AjusteICMSDocumentoFiscal;RegInclusao;datetime;NULL;NO;(getdate())
dbo;AjusteICMSDocumentoFiscal;DataAlteracao;datetime;NULL;NO;('01/01/1900')
dbo;AjusteICMSDocumentoFiscal;HoraAlteracao;datetime;NULL;NO;('00:00:00')
dbo;AjusteICMSTabela52;CodAjuste;nvarchar;10;NO;('')
dbo;AjusteICMSTabela52;Descricao;nvarchar;1000;NO;('')
dbo;AjusteICMSTabela52;DataInicio;datetime;NULL;NO;('1/1/1900')
dbo;AjusteICMSTabela52;DataTermino;datetime;NULL;NO;('1/1/1900')
dbo;AjusteICMSTabela52;DataAlteracao;datetime;NULL;NO;('1/1/1900')
dbo;AjusteICMSTabela52;HoraAlteracao;datetime;NULL;NO;('1/1/1900')
dbo;AjusteICMSTabela52;CodUsuarioAlteracao;int;NULL;NO;((0))
dbo;AjusteICMSTabela52;RegInclusao;datetime;NULL;NO;(getdate())
dbo;AjusteIPI;CodAjusteIPI;nvarchar;3;NO;('')
dbo;AjusteIPI;DescricaoAjusteIPI;nvarchar;300;NO;('')
dbo;AjusteIPI;NaturezaAjuste;nvarchar;1;NO;('')
dbo;AjusteIPI;DetalhamentoAjusteIPI;nvarchar;300;NO;('')
dbo;AjusteIPI;DataAlteracao;datetime;NULL;NO;('01/01/1900')
dbo;AjusteIPI;HoraAlteracao;datetime;NULL;NO;('00:00:00')
dbo;AjusteIPI;CodUsuarioAlteracao;int;NULL;NO;((0))
dbo;AjusteIPI;RegInclusao;datetime;NULL;NO;(getdate())
dbo;ANSServicos;idANS;int;NULL;NO;((0))
dbo;ANSServicos;InativoSN;bit;NULL;NO;((0))
dbo;ANSServicos;DescricaoANS;ntext;1073741823;NO;('')
dbo;ANSServicos;DescricaoSemContrato;ntext;1073741823;NO;('')
dbo;ANSServicos;DataAlteracao;smalldatetime;NULL;NO;('1/1/1900')
dbo;ANSServicos;HoraAlteracao;smalldatetime;NULL;NO;('00:00:00')
dbo;ANSServicos;CodUsuarioAlteracao;int;NULL;NO;((0))
dbo;ANSServicos;RegInclusao;smalldatetime;NULL;NO;(getdate())
dbo;aPagar;CodEmpresa;int;NULL;NO;((0))
dbo;aPagar;Numero;nvarchar;15;NO;('')
dbo;aPagar;Desdobramento;int;NULL;NO;((0))
dbo;aPagar;CodCredor;nvarchar;8;NO;('')
dbo;aPagar;NomeCredor;nvarchar;60;NO;('')
dbo;aPagar;Origem;nvarchar;3;NO;('')
dbo;aPagar;CodTipoDocumento;int;NULL;NO;((0))
dbo;aPagar;ProvisaoSN;bit;NULL;NO;((0))
dbo;aPagar;Situacao;nvarchar;1;NO;('')
dbo;aPagar;DataEntrada;datetime;NULL;NO;('1/1/1900')
dbo;aPagar;DataEmissao;datetime;NULL;NO;('1/1/1900')
dbo;aPagar;Valor;money;NULL;NO;((0))
dbo;aPagar;ValorDesconto;money;NULL;NO;((0))
dbo;aPagar;TaxaMulta;money;NULL;NO;((0))
dbo;aPagar;TaxaJurosDia;money;NULL;NO;((0))
dbo;aPagar;DiasCarencia;int;NULL;NO;((0))
dbo;aPagar;DataVencimento;datetime;NULL;NO;('1/1/1900')
dbo;aPagar;DataPrevista;datetime;NULL;NO;('1/1/1900')
dbo;aPagar;NFOrigem;nvarchar;12;NO;('')
dbo;aPagar;CodPortador;nvarchar;4;NO;('')
dbo;aPagar;TipoBaixa;nvarchar;1;NO;('')
dbo;aPagar;DataPagamento;datetime;NULL;NO;('1/1/1900')
dbo;aPagar;ValorPago;money;NULL;NO;((0))
dbo;aPagar;Observacao;ntext;1073741823;NO;('')
dbo;aPagar;CodClasse;nvarchar;5;NO;('')
dbo;aPagar;CodCentroCusto;nvarchar;19;NO;('')
dbo;aPagar;CodConta;int;NULL;NO;((0))
dbo;aPagar;NumeroCheque;int;NULL;NO;((0))
dbo;aPagar;NumFatura;nvarchar;10;NO;('')
dbo;aPagar;CodCTBJurosDesc;int;NULL;NO;((0))
dbo;aPagar;CTBCodEmpresa;int;NULL;NO;((0))
dbo;aPagar;DataAlteracao;datetime;NULL;NO;('1/1/1900')
dbo;aPagar;HoraAlteracao;datetime;NULL;NO;('00:00:00')
