AgendaEventos_CodAgenda;Agenda;CodAgenda;AgendaEventos;CodAgenda
CEPBairros_CodCidade;CEPCidades;CodCidade;CEPBairros;CodCidade
CEPLogradouros_CodCidade;CEPCidades;CodCidade;CEPLogradouros;CodCidade
aPagarDistribFinanceira_CodClasse;ClasseFinanceira;CodClasse;aPagarDistribFinanceira;CodClasse
ClasseFinanceiraOrcamento_CodClasse;ClasseFinanceira;CodClasse;ClasseFinanceiraOrcamento;CodClasse
PedidoCompraDistribFinanceira_CodClasse;ClasseFinanceira;CodClasse;PedidoCompraDistribFinanceira;CodClasse
ReciboDespesaValores_CodClasse;ClasseFinanceira;CodClasse;ReciboDespesaValores;CodClasse
Atendimento_CodClassificacaoAtendimento;ClassificacaoAtendimento;CodClassificacaoAtendimento;Atendimento;CodClassificacaoAtendimento
FK_Equipamentos_ClassificacaoEquipamento;ClassificacaoEquipamento;CodClassificacaoEquipamento;Equipamentos;CodClassificacaoEquipamento
RDM_CodClassificacaoRDM;ClassificacaoRDM;CodClassificacaoRDM;RDM;CodClassificacaoRDM
FK_AcessosPortaria_Clientes;Clientes;CodCliente;AcessosPortaria;CodCliente
aPagar_CodCredor;Clientes;CodCliente;aPagar;CodCredor
aReceber_CodCliente;Clientes;CodCliente;aReceber;CodCliente
CampanhaPesquisa_CodCliente;Clientes;CodCliente;CampanhaPesquisa;CodCliente
FK_ClientesAnexos_Clientes;Clientes;CodCliente;ClientesAnexos;CodCliente
ClientesAutorizacaoVenda_CodCliente;Clientes;CodCliente;ClientesAutorizacaoVenda;CodCliente
ClientesCamposAdicionais_CodCliente;Clientes;CodCliente;ClientesCamposAdicionais;CodCliente
FK_ClientesCartaoFidelidade_Clientes;Clientes;CodCliente;ClientesCartaoFidelidade;CodCliente
FK_ClientesComissaoProduto_Clientes;Clientes;CodCliente;ClientesComissaoProduto;CodCliente
ClientesContatos_CodCliente;Clientes;CodCliente;ClientesContatos;CodCliente
ClientesCS_CodCliente;Clientes;CodCliente;ClientesCS;CodCliente
FK_ClientesDependente_Clientes;Clientes;CodCliente;ClientesDependente;CodCliente
ClientesEmpresa_CodCliente;Clientes;CodCliente;ClientesEmpresa;CodCliente
FK_ClientesEmpresaProdutoSerie_Clientes;Clientes;CodCliente;ClientesEmpresaProdutoSerie;CodCliente
ClientesEnderecosAdicionais_CodCliente;Clientes;CodCliente;ClientesEnderecosAdicionais;CodCliente
FK_ClientesGrupoEstoque_Clientes;Clientes;CodCliente;ClientesGrupoEstoque;CodCliente
ClientesHistorico_CodCliente;Clientes;CodCliente;ClientesHistorico;CodCliente
FK_ClientesHistoricoCampos_Clientes;Clientes;CodCliente;ClientesHistoricoCampos;CodCliente
ClientesMedico_CodCliente;Clientes;CodCliente;ClientesMedico;CodCliente
ClientesProdutos_CodCliente;Clientes;CodCliente;ClientesProdutos;CodCliente
FK_ClientesRastreamentoEletronico_Clientes;Clientes;CodCliente;ClientesRastreamentoEletronico;CodFornecedor
FK_ClientesRegraNegocio_Clientes;Clientes;CodCliente;ClientesRegraNegocio;CodCliente
FK_ClientesRelacionados_Clientes;Clientes;CodCliente;ClientesRelacionados;CodCliente
FK_ClientesSPC_Clientes;Clientes;CodCliente;ClientesSPC;CodCliente
ClienteVendedor_CodCliente;Clientes;CodCliente;ClienteVendedor;CodCliente
Contratos_CodCliente;Clientes;CodCliente;Contratos;CodCliente
FK_DevolucaoVenda_Clientes;Clientes;CodCliente;DevolucaoVenda;CodCliente
MovimentoEstoque_CodCliente;Clientes;CodCliente;MovimentoEstoque;CodCliente
NotaEntrada_CodCredor;Clientes;CodCliente;NotaEntrada;CodCredor
NotaSaida_CodCliente;Clientes;CodCliente;NotaSaida;CodCliente
OrdemServico_CodCliente;Clientes;CodCliente;OrdemServico;CodCliente
PedidoCompra_CodFornecedor;Clientes;CodCliente;PedidoCompra;CodFornecedor
ProcedimentoCirurgicoConvenio_CodCliente;Clientes;CodCliente;ProcedimentoCirurgicoConvenio;CodCliente
FK_ProdutosConfiguracaoCliente_Clientes;Clientes;CodCliente;ProdutosConfiguracaoCliente;CodCliente
FK_ProdutosFornecedorUnidade_Clientes;Clientes;CodCliente;ProdutosFornecedorUnidade;CodFornecedor
ProdutosTributacaoCliente_CodCliente;Clientes;CodCliente;ProdutosTributacaoCliente;CodCliente
VisitasPalm_CodCliente;Clientes;CodCliente;VisitasPalm;CodCliente
ClientesDescontoPromocionalCreditos_NumDescProm;ClientesDescontoPromocional;CodEmpresa;ClientesDescontoPromocionalCreditos;CodEmpresa
ClientesDescontoPromocionalCreditos_NumDescProm;ClientesDescontoPromocional;NumDescProm;ClientesDescontoPromocionalCreditos;NumDescProm
FK_ClientesCodContabil_ClientesEmpresa;ClientesEmpresa;CodEmpresa;ClientesCodContabil;CodEmpresa
FK_ClientesCodContabil_ClientesEmpresa;ClientesEmpresa;CodCliente;ClientesCodContabil;CodCliente
FK_ClientesTelevenda_ClientesEmpresa;ClientesEmpresa;CodCliente;ClientesTelevenda;CodCliente
FK_ClientesTelevenda_ClientesEmpresa;ClientesEmpresa;CodEmpresa;ClientesTelevenda;CodEmpresa
ClientesEnderecosAdicionaisPedagio_CodCliente;ClientesEnderecosAdicionais;CodCliente;ClientesEnderecosAdicionaisPedagio;CodCliente
ClientesEnderecosAdicionaisPedagio_CodCliente;ClientesEnderecosAdicionais;CodEndereco;ClientesEnderecosAdicionaisPedagio;CodEndereco
CNPJCNAE_CodCNAE;CNAE;CodCNAE;CNPJCNAE;CodCNAE
CobrancasAReceber_idCobranca;Cobrancas;CodEmpresa;CobrancasAReceber;CodEmpresa
CobrancasAReceber_idCobranca;Cobrancas;idCobranca;CobrancasAReceber;idCobranca
CobrancasChequesRecebidos_idCobranca;Cobrancas;idCobranca;CobrancasChequesRecebidos;idCobranca
CobrancasChequesRecebidos_idCobranca;Cobrancas;CodEmpresa;CobrancasChequesRecebidos;CodEmpresa
ComandaMesa_NumComanda;Comanda;CodEmpresa;ComandaMesa;CodEmpresa
ComandaMesa_NumComanda;Comanda;NumComanda;ComandaMesa;NumComanda
ComandaPagamento_NumComanda;Comanda;NumComanda;ComandaPagamento;NumComanda
ComandaPagamento_NumComanda;Comanda;CodEmpresa;ComandaPagamento;CodEmpresa
ComandaProduto_NumComanda;Comanda;CodEmpresa;ComandaProduto;CodEmpresa
ComandaProduto_NumComanda;Comanda;NumComanda;ComandaProduto;NumComanda
ComandaPagamentoProduto_NumComanda;ComandaProduto;OrdemPedido;ComandaPagamentoProduto;OrdemPedido
ComandaPagamentoProduto_NumComanda;ComandaProduto;CodEmpresa;ComandaPagamentoProduto;CodEmpresa
ComandaPagamentoProduto_NumComanda;ComandaProduto;NumComanda;ComandaPagamentoProduto;NumComanda
ComandaTransferencia_NumComanda;ComandaProduto;OrdemPedido;ComandaTransferencia;OrdemPedido
ComandaTransferencia_NumComanda;ComandaProduto;NumComanda;ComandaTransferencia;NumComanda
ComandaTransferencia_NumComanda;ComandaProduto;CodEmpresa;ComandaTransferencia;CodEmpresa
RDMAlteracaoProduto_CodComponenteProduto;ComponenteProduto;CodComponenteProduto;RDMAlteracaoProduto;CodComponenteProduto
ClientesEnderecosAdicionaisPedagio_CodConcessionaria;ConcessionariaPedagio;CodConcessionaria;ClientesEnderecosAdicionaisPedagio;CodConcessionaria
Pedagio_CodConcessionaria;ConcessionariaPedagio;CodConcessionaria;Pedagio;CodConcessionaria
CondicaoPagamentoDesconto_CodCondicao;CondicaoPagamento;CodCondicao;CondicaoPagamentoDesconto;CodCondicao
FK_CondicaoPagamentoEmpresa_CondicaoPagamento;CondicaoPagamento;CodCondicao;CondicaoPagamentoEmpresa;CodCondicao
FK_CondicaoPagamentoParcelas_CondicaoPagamento;CondicaoPagamento;CodCondicao;CondicaoPagamentoParcelas;CodCondicao
FK_CondicaoPagamentoSerie_CondicaoPagamento;CondicaoPagamento;CodCondicao;CondicaoPagamentoSerie;CodCondicao
CondicaoPagamentoVendedores_CodCondicao;CondicaoPagamento;CodCondicao;CondicaoPagamentoVendedores;CodCondicao
